rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4406,9acce215-0cc5-45a3-b609-1d7fa4ddea4c,Karl-Schlecht-Stiftung,Private,1,5559.864336,Office,Stuttgart,Office,Stuttgart,Baden-Wurttemberg,,2015-03-31 00:00:00
4407,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Andrea Bezold,Private,1,1999.9512,Industrial,Nuremberg,Industrial,Nuremberg,Bavaria,,2012-06-15 00:00:00
4408,1e818f70-68b6-4a80-84a5-df2b4c9146ea,Bonafide Immobilien GmbH,Private,1,11507.7192048,Dev Site,Bornheim,Dev Site,Bornheim,North Rhine-Westphalia,,2018-08-01 00:00:00
4409,b0cf4376-2d32-4a90-bea7-f2e7c56558d6,Iconiq Capital,Institutional,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,IPI Data Center Partners,2022-10-11 00:00:00
4410,72c7b6df-52ed-44a2-930e-4eb541b42a49,Stack Infrastructure,Private,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,,2022-10-11 00:00:00
4411,f7660112-6f4f-4a90-a6b6-3f991a1452d5,Iron Point Partners,Institutional,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,,2022-10-11 00:00:00
4412,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Isar Real Beteiligungs GmbH,Private,1,,Apartment,Kerpen,Apartment,Kerpen,North Rhine-Westphalia,,2013-07-19 00:00:00
4413,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Huseyin Aydogan,Private,1,6499.8414,Office,Baden-Baden,Office,Baden-Baden,Baden-Wurttemberg,,2014-05-13 00:00:00
4414,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Biolink,User/Other,1,24999.39,Dev Site,Bad Tolz,Dev Site,Bad Tolz,Bavaria,,2015-08-15 00:00:00
4415,6bc978a5-c447-4100-bf96-3d16bd2b1a5e,Vestas Wind Systems,User/Other,1,64998.414,Dev Site,Lubeck,Dev Site,Lubeck,Schleswig-Holstein,,2010-10-14 00:00:00
4416,521c6efe-d72d-45a4-8556-7073c2ed1f34,Landessparkasse zu Oldenburg,Institutional,1,3629.911428,Dev Site,Cloppenburg,Dev Site,Cloppenburg,Lower Saxony,,2018-03-15 00:00:00
4417,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Aldex Group GmbH,Private,1,5099.87556,Dev Site,Ratingen,Dev Site,Ratingen,North Rhine-Westphalia,,2021-04-30 00:00:00
4418,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Architekturburo Klaus Kathan,Private,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4419,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Optimal-Wohnbau,Private,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4420,bd5657ae-402e-4677-a035-dc18a547bcae,Zeppelin Wohlfahrt GmbH,User/Other,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4421,2b3a94eb-02fd-488f-af49-60aa4cb57338,SWG Friedrichshafen,User/Other,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4422,463f6584-5aaa-4c8f-9d1c-72ac78c30c0d,Callista Private Equity GmbH,Institutional,1,3599.91216,Industrial,Eichstatt,Industrial,Eichstatt,Bavaria,,2020-08-27 00:00:00
4423,4a40f985-61a8-44ab-9e71-effe1b732d68,MIFIM,Private,1,3799.90728,Office,Berlin,Office,Berlin,Berlin,,2017-05-31 00:00:00
4424,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Aybrook Financial Partners,Private,1,5999.8536,Hotel,Berlin,Hotel,Berlin,Berlin,,2014-12-01 00:00:00
4425,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,European Central bank,User/Other,1,119847.07566,Dev Site,Frankfurt am Main,Dev Site,Frankfurt am Main,Hesse,,2002-03-01 00:00:00
4426,bd5657ae-402e-4677-a035-dc18a547bcae,Hessischer Landesverband des Arbeiter-Samariter-Bunds (ASB),User/Other,1,12517.6945608,Office,Frankfurt am Main,Office,Frankfurt am Main,Hesse,,2016-01-16 00:00:00
4427,4c48b00f-c8f6-419c-a5d2-da2b723242e8,BLL Braun Leberfinger Ludwig,Private,1,4089.900204,Office,Munich,Office,Munich,Bavaria,,2019-01-16 00:00:00
4428,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,K-iS Systemhaus Unternehmensgruppe,User/Other,1,3299.91948,Dev Site,Siegen,Dev Site,Siegen,North Rhine-Westphalia,,2018-06-30 00:00:00
4429,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Qundis GmbH,User/Other,1,13999.6584,Industrial,Erfurt,Industrial,Erfurt,Thuringia,,2013-06-12 00:00:00
4430,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Pneumo Drucklufttechnik,User/Other,1,959.976576,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2006-05-31 00:00:00
4431,dff0eea9-30e5-40e2-9c82-af5ab31bd71d,Gamaat Bismi Allah e.V.,User/Other,1,2799.93168,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2014-09-23 00:00:00
4432,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Groupe Eurinvest,Private,1,539.986824,Retail,Gera,Retail,Gera,Thuringia,,2008-11-15 00:00:00
4433,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dapcom GmbH,Private,1,539.986824,Retail,Gera,Retail,Gera,Thuringia,,2008-11-15 00:00:00
4434,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Marcus Ritzmann,Private,1,,Retail,Gera,Retail,Gera,Thuringia,,2011-06-29 00:00:00
4435,4c48b00f-c8f6-419c-a5d2-da2b723242e8,FN Reus Kiel GbR,Private,1,3308.9192604,Office,Kiel,Office,Kiel,Schleswig-Holstein,,2023-12-19 00:00:00
4436,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,InVision AG,User/Other,1,1999.9512,Office,Dusseldorf,Office,Dusseldorf,North Rhine-Westphalia,,2013-12-09 00:00:00
4437,0c88e220-463e-4644-8d88-bafb2ddebe8c,Dock 13 MBH,Private,1,,Hotel,Dusseldorf,Hotel,Dusseldorf,North Rhine-Westphalia,,2004-06-30 00:00:00
4438,a1c5e2b3-fa9a-4d95-9dfb-35d2fe6270d2,Safran,User/Other,1,5999.80365696,Dev Site,Norderstedt,Dev Site,Norderstedt,Schleswig-Holstein,,2022-11-30 00:00:00
4439,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Atlas von der Wehl GmbH DE,Private,1,799.98048,Industrial,Lubeck,Industrial,Lubeck,Schleswig-Holstein,,2024-02-29 00:00:00
4440,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Averitas Holding,Private,1,9999.756,Dev Site,Neustadt an der Weinstrasse,Dev Site,Neustadt an der Weinstrasse,Rhineland-Palatinate,,2022-08-31 00:00:00
4441,3a9e2fdb-0237-43c7-91ee-fe1d96990bb0,Macquarie 88,Private,1,12599.69256,Office,Berlin,Office,Berlin,Berlin,,2022-12-16 00:00:00
4442,6be7de5f-ab16-4ff3-b0a4-117bdf1afa6a,KR Immobilienmanagement,Private,1,8499.7926,Office,Hanover,Office,Hanover,Lower Saxony,,2009-09-15 00:00:00
