rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1195,55bf8552-a0ef-4865-8d38-f0542fa6af10,neworld GmbH,Private,1,17449.57422,Office,Mainz,Office,Mainz,Rhineland-Palatinate,,2025-02-06 00:00:00
1196,4c48b00f-c8f6-419c-a5d2-da2b723242e8,TO Projektimmobilien GmbH,Private,1,3699.90972,Dev Site,Achim,Dev Site,Achim,Lower Saxony,,2024-11-25 00:00:00
1197,35945c8b-c496-4718-af7b-b2aa17994c28,Industria Sverige AB,Private,1,4825.8822456,Apartment,Hamburg,Apartment,Hamburg,Hamburg,,2025-03-27 00:00:00
1198,3555db89-a3eb-45ce-a44c-2e7b2325c461,DE,<unknown>,1,1699.95852,Retail,Weidenberg,Dev Site; Apartment; Industrial,Erfurt; Hanover; Buchholz (Westerwald),North Rhine-Westphalia; Lower Saxony; Bavaria,,2026-04-21 00:00:00
1199,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Taurus Investment Projects GmbH,Private,1,18587.5464528,Apartment,Schwanewede,Apartment,Schwanewede,Lower Saxony,,2026-03-09 00:00:00
1200,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gabriel Capital Partners,Private,1,18587.5464528,Apartment,Schwanewede,Apartment,Schwanewede,Lower Saxony,,2026-03-09 00:00:00
1201,abad3be0-aaf7-42e8-ab87-a88e220b0684,Dusseldorfer Wohnungsgenossenschaft (DWG),User/Other,1,6026.8529412,Dev Site,Dusseldorf,Dev Site,Dusseldorf,North Rhine-Westphalia,,2025-10-29 00:00:00
1202,c21ab26f-8067-421c-aa31-7cdc834b18b4,Bottrop Immobilien GmbH,Private,1,10185.7514616,Retail,Bottrop,Retail,Bottrop,North Rhine-Westphalia,,2025-04-03 00:00:00
1203,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,HANNA-Feinkost AG,User/Other,1,59998.536,Dev Site,Geseke,Dev Site,Geseke,North Rhine-Westphalia,,2025-06-05 00:00:00
1204,7ac9a0f3-b9cd-4597-b255-c6d503c1fd7f,Israel Canada,Private,1,,Hotel,Berlin,Hotel,Berlin,Berlin,,2026-06-29 00:00:00
1205,8d544a95-0a8b-47fe-ba68-4dcdbc1bccef,City of Flensburg,User/Other,1,239994.144,Dev Site,Flensburg,Dev Site; Industrial,Flensburg,Schleswig-Holstein,,2026-04-08 00:00:00
1206,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Corporate/Owner-Occupier,User/Other,1,24963.3908784,Retail,Wiesbaden,Retail,Wiesbaden,Hesse,,2025-11-15 00:00:00
1207,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Saftekin Immobilien GmbH,Private,1,14199.65352,Retail,Siegen,Retail,Siegen,North Rhine-Westphalia,,2025-12-15 00:00:00
1208,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Jagdfeld Real Estate,Private,1,12432.6966348,Hotel,Zingst,Retail; Hotel,Siegen; Zingst,North Rhine-Westphalia; Mecklenburg-West Pomerania,,2025-12-15 00:00:00
1209,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Kuchen,User/Other,1,7299.82188,Dev Site,Kuchen,Dev Site,Kuchen,Baden-Wurttemberg,,2025-07-09 00:00:00
1210,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HP Potthoff GmbH und Co. KG DE,Private,1,2199.94632,Apartment,Lienen,Apartment,Lienen,North Rhine-Westphalia,,2026-02-27 00:00:00
1211,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Rellingen,User/Other,1,2999.9268,Retail,Rellingen,Retail; Dev Site,Rellingen,Schleswig-Holstein,,2026-05-13 00:00:00
1212,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Max von Bredow Baukultur GmbH,Private,1,11999.7072,Dev Site,Haimhausen,Dev Site,Haimhausen,Bavaria,,2024-12-10 00:00:00
1213,bdc0090f-0eff-4b45-bfbf-be09be4d584c,Krause Firmengruppe,Private,1,24999.39,Dev Site,Gernsbach,Dev Site; Retail; Apartment,Gernsbach; Riesa; Potsdam,Baden-Wurttemberg; Saxony; Brandenburg,,2024-09-11 00:00:00
1214,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Municipality of Bodenwohr,User/Other,1,4399.89264,Dev Site,Bodenwohr,Dev Site,Bodenwohr,Bavaria,,2026-06-26 00:00:00
1215,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Motor Real Estate,Private,1,1799.95608,Dev Site,Edingen-Neckarhausen,Dev Site,Edingen-Neckarhausen,Baden-Wurttemberg,,2025-07-11 00:00:00
1216,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Wureme GmbH,Private,1,10999.7316,Dev Site,Herne,Dev Site,Herne,North Rhine-Westphalia,,2024-09-06 00:00:00
1217,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,TroniTechnik GmbH DE,User/Other,1,24999.39,Industrial,Preussisch Oldendorf,Industrial,Preussisch Oldendorf,North Rhine-Westphalia,,2026-02-13 00:00:00
1218,4c48b00f-c8f6-419c-a5d2-da2b723242e8,BAL Group,Private,1,2329.943148,Office,Berlin,Office,Berlin,Berlin,,2026-04-07 00:00:00
1219,08705e8e-4de8-4724-9c54-232fa5adc054,Johann Kowar,Private,1,20589.497604,Dev Site,Mannheim,Condo; Dev Site; Hotel,Mannheim,Baden-Wurttemberg,,2026-02-19 00:00:00
1220,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Lenovi Lofts GmbH,Private,1,649.98414,Apartment,Fulda,Apartment,Fulda,Hesse,,2025-11-03 00:00:00
1221,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Vivion Group LU,Private,1,5977.8541368,Retail,Berlin,Retail,Berlin,Berlin,,2024-12-06 00:00:00
